note; resume; opinions
5.0; Passable ; J'ai demandé la navette 6h à l'avance pour aller l'aéroport, à la fin j'ai été transporté en retard à l'aéroport avec une voiture de transport privée (illégale) et dans un état très dégradé...!!!|
5.0;Pas top; Trop peu de luminosité dans la chambre  Trop peu de personnel souriant Piscine pas très propre et pas assez isolée par rapport au salle de réunion qui entourent la piscine plein de personnes nous observent trop peu d intimité  Aucun compromis pour une de nos serviette qui a été prise dans notre chambre  Pas de clarté pour le paiement alors que je leur ai donné ma carte de crédit  lors de notre arrivée après ils nous reprochent de ne pas avoir payé avant ? J ai réservé une chambre pour 2 personnes petit déjeuner compris et ils m ont fait payé le petit déjeuner pour la2 eme personne sans nous le préciser ! Ce n est pas précise non plus sur le site de booking  Ils m ont fait payé plus cher que ma réservation ! Vérifie bien votre facture !| Le restaurant et le cabaret très bien  La literie confortable|
3.8; Assez médiocre  ; Pas de chaussons pour clients Pas de sac poubelle dans poubelle Réveil matinal à cause des travaux..un dimanche matin. Pas de fruits au petit déjeuner..juste de la pastèque... pourtant on est au Cameroun Le comble de tout je ne retrouve pas ma mon téléphone et chambre refaite croyant que j'étais déjà en Check Out| Lit et au chaude de la douche Établissement bien présenté|
9.6; Fabuleux  ; Personnel toujours souriant et disponible.  |
3.3; Assez médiocre  ; Coupure d'eau pendant ma douche et pas de réactivité du personnel  Toilettes pas très propres|
9.2;L-un des meilleurs hôtels de Douala; Le petit-déjeuner payant pour la deuxième personne| Excellent accueil du personnel, petit-déjeuner copieux, quartier calme et sécurisé,|
3.8;très mauvaise expérience; le personnel d'accueil de jour, l'absence de navette pour l'aéroport tôt le matin et donc l'obligation pour moi de payer le taxi sans en avoir été averti préalablement, des chambres très très fatiguées et défraichies, une piscine pas très propre, absence de jus au petit déjeuner dans un pays qui regorge de fruits,| le personnel de l'accueil mais le soir seulement, personnel de chambre très gentil|
5.0;Je n'y retournerais certainement pas.; Le service d'accueil est frustrant. Le service de la réception répond mal, ne cherche pas à comprendre les clients et ne met que le volet financier en priorité. Il y a une différence entre le type de chambre mentionné dans Booking.com et les chambres effectivement allouées.| Le service d'aide pour le transport des bagages.|
5.8; Passable ; Plateau de courtoisie seulement le premier jour. Aucune plaquette dans les chambres nous indiquant les services proposés ainsi que les tarifs| Chambre, piscine|
8.0; Très bien ; Absence de la seule vraie chaine panafricaine internationale à 100% de contenus africains sur offre: label tv 46 canalsat | Sat |
7.1; Bien  ; Accès aux chambres par l'extérieur, sous (et dans) l'eau quand il pleut !|
7.5; Bien  ;

6.7; Agréable ;

7.5; Bien  ;

7.9;Bien; Pas de verres à vin, à champagne et pas de tasse pour le café dans mon logement pourtant équipé d'une cafetière. Je n'ai pas apprécié boire du champagne dans un verre a eau.. Il y'a une machine à laver et un sèche linge mais pas de savon ou liquide lessive mis à disposition pour l'utilisation de ces derniers.| L'efficacité et la réactivité du personnel.|
9.2; Fabuleux  ; Calme et propreté |
7.5; Bien  ;

5.0;Simple; Ergonomie salle de bain, efficacité de la climatisation| Situation géographique, accueil, service du maître d'hôtel/cuisinier|
5.0;L'hôtel a t il une connexion wifi? Je n'ai pas reçu de code. Dommage; Le jour de mon arrivée, une fois en possession de la clé de la chambre, je me suis rendu compte à mes dépens que celle-ci n'était pas enregistrée. Si bien que dans la chambre, à 2 reprises, à 23h et 1h00 du matin d'autres clients à qui on a remis le même numéro de chambres ont tenté d'y pénétrer. J'ai perdu mon sommeil jusqu'à 3h du matin. Le lendemain matin à 7h30 pas de petit-déjeuner prêt. Je réfléchis si je retournerai à cet hôtel lors d'un prochain passage à Douala.| C'est propre et discret comme hôtel |
7.0; Bien  ;

7.0; Bien  ;

7.0; Bien  ;

10; Exceptionnel ;

8.0; Très bien ; La chambre standard n'a pas vraiment de fenêtre, si ce n'est sur un mur à 1m. Du coup la chambre n'est pas très lumineuse.| Le personnel de l'hotel est sympathique, acceuillant et accomodant. Cela vous facilite le séjour. La navette AR Aéroport est gratuite|
7.5; Bien  ; J ai oublié mon chargeur dans la chambre lors de mon départ. Dans la journée  après m être rendu compte et retourné à  l hôtel  Impossible de le trouver| L accueil dès l aéroport  était génial Je recommande cet hôtel malgré  cet incident Il est très bien  situé à bonadjo|
8.3; Très bien ;

8.0;Satisfaisant; RAS| En général, tout est satisfaisant.|
6.0;Le moteur de la Clim était était très bruyant; J ai pas manger|
6.0; Agréable ; La piscine  pas très grande dommage| Serviable... |
5.8; Passable ; Il n y avait pas de baignoire comme mentionné dans l annonce|
5.8;Très cher pour très peu; Chambre pas insonorisée, odeur salle de bain vraiment très forte... La porte du balcon ne se fermait même pas| Personnel souriant|
5.8;Hébergement de transit, très court séjour,  convient à un aventurier solitaire.; L'odeur de rouille dans l'eau (lavabo, douche)  Les images internet ne correspondent plus à la réalité, tout est à rafraîchir.| La sympathie du directeur gérant  Pour 2 nuits, ya vraiment pas grand chose à dire|
7.5; Bien  ; Très bon accueil et prise en charge. La navette pour l'aéroport est un plus. |
7.1;Bien; L'humidité par endroit dans la chambre (plafond staff, mur), et donc nécessité d'un rafraichissement. La couleur de l'eau du robinet un peu rougeâtre à certain moment. En outre, un peu surpris par le fait de payer une taxe supplémentaire.| L'emplacement pas loin de l'aéroport et la disponibilité de la navette m'ont facilité la tâche et permis de rattraper la réunion à laquelle je suis venu assister. Le petit-déjeuner était bien. La chambre est confortable et dans l'ensemble d'une propreté appréciable (salle de bain, toilettes, literie). La disponibilité et la cordialité du personnel, en commençant par le Directeur Général.|
5.8;Dommage...; L'entretien des infrastructures laisse à désirer, tout est déjà si vétuste... Le kit produits de toilette en chambre aurait pu être un plus mais c'est en fait une recharge de qualité très douteuse Malgré la bonne intention visible, le confort est absent et l'esthétique du lieu manque cruellement| Bonne situation géographique, proche de l'aéroport Chambre fonctionnelle et minimaliste Le staff et le management fait de son mieux pour être à l'écoute|
7.5;Situation géographique intéressant pas tre; La cuvette du WC cassée et l'odeur de l'eau sortant du robinet| Le lit moelleux, le calme et la situation géographique|
1.0; Médiocre  ; Tout était aproximatif Publicité mensongeaire |
2.0;Horrible !!!; Tout.,,| Rien...|
8.8;Bon accueil , prise en main rapide , bonne réactivité du personnel et confort très satisfaisant; Quelques réparations à effectuer dans la salle de bain et toilettes (lunette déboîtée)| Très bon accueil  Personnel très gentil, serviable, professionnel, très réactif, souriant, disponible, très arrangeant   Personnel très disponible et très arrangeant  Hôtel assez confortable  Nous y reviendrons certainement|
4.2; Décevant ; Accueil, propreté et bien d'autres| Rien du tout|
10;Formidable; Rien| Tout|
7.5; Bien  ; La clé de notre chambre s’est démagnétisé. Pendant quelques minutes on a du attendre pour qu’on vienne ouvrir| Dans cet hôtel on y trouve du confort et tout est propre|
5.0; Passable ; A mon avis, la moquette dans les chambres n'est pas appropriée. | L'ensemble du personnel est très accueillant et disponible. Le service est parfait. |
9.2; Fabuleux  ;

8.8; Très bien ;

5.4; Passable ;

8.8; Très bien ;

8.8; Très bien ;


7.9;TRES BON SEJOUR; La coupure d'eau pendant une journée. Pas de chateau d'eau privée ni de sceau d'eau de dépannage| chaque chambre avec un balcon. Chaque chambre est bien propre.|
6.3;des efforts à faire pour améliorer; le manque d'eau la veille et le jour de mon départ sans pouvoir faire ma toilette| l'accueil excellent des réceptionnistes|
7.5;J'ai été heureux de séjourner dans votre hotel.; RAS| Professionnalisme et convivialité du personnel|
9.0;Bon séjour; Que l'on ne puisse pas garder son pass activé durant tout le séjour même après avoir rempli toutes les formalités| L'accueil  La cuisine|
5.0; Passable ; La climatisation ne fonctionne pas bien,le wifi coupait régulièrement. Rapport qualité/prix mauvais| La climatisation ne fonctionne pas bien,le wifi coupait régulièrement. Rapport qualité/prix majvais|
7.0; Bien  ;

5.4; Passable ;

7.1;Bien;

5.0; Passable ;

6.7; Agréable ;

6.3;sejour à makepe; Réparer rapidement les choses hors service dans l'appartement.  Donner des infos juste comme le paiement de l'électricité par le client sinon ça paraît comme des frais caché si on informe pas le client afin que ce dernier puisse gérer le vrai budget de son séjour.  | la politesse de la dame à la réception |
7.5; Bien  ; Présence de cafards dans la cuisine, un petit savon pour vaisselle, et dans les toilettes pour se laver les mains serait le bienvenu. | Personnel vraiment top!! La jeune dame de la réception très disponible, emplacement, lieu . Le parking gardé |
6.7; Agréable ; La propreté et la sécurité|
7.0; Bien  ; J'ai pas apprécié la facturation de l'électricité, cela devrait être inclu dans la location.| J'ai aimé son cadre plus ou moins spacieux, calme et confortable.|
1.0; Médiocre  ;

9.2; Fabuleux  ;

9.0;Très bien.; Télévision dans les chambres.| Bien t|
8.0;En un seul mot Parfait 😊; Les points forts a nos yeux Le confort ,les équipements et la qualité de l'appartement d'un standart de bon niveau La présence de 2 terrasses  La presence dune piscine  L'accueil chaleureux  , la réactivité et l'écoute des proprietaires Le plus a été la prise en charge a l'aéroport|
8.0; Très bien ;

7.0;Agréable; Bon emplacement|
7.0; Bien  ;

8.0; Très bien ;

10; Exceptionnel ;

8.0;excellent😸; On suggère la clime dans la salle à Manger. Un restaurant dans l'établissement ferait un petit bien aux clients.|
10; Exceptionnel ; RAS| L'hospitalité |
8.0; Très bien ;

6.0; Agréable ;

5.0; Passable ;


7.0;un séjour bien agréable; quelques petits équipements manquent... un matelas plus confortable serait aprécié Merci| appart confortable , cosy et chaleureux ... déco sympa|
3.0; Assez médiocre  ; Souris dans logement,  sent humidité emplacement à 30mn de akwa Le seul point positif personnel qui a essayé de satisfaire comme il pouvait|
9.2; Fabuleux  ; Absence de connexion internet |
8.0; Très bien ;

10;Appart très confortable et chic. C’était un séjour très plaisant!;

7.0; Bien  ;


9.0; Fabuleux  ; Bel hôtel avec ascenseur. Accueil chaleureux du DG de l'établissement à touristique. Très beau séjour dans l'ensemble. |
8.0;SATISFAIT...BON RAPPORT QUALITE/PRIX; ABSENCE DE PENDERIE DANS MA CHAMBRE CHAMBRE UN PEU ETROITE BIEN QUE C'ETAIT JUSTE POUR UN JOUR DONC CA VA| LE SERVICE RAPIDE LA NAVETTE GRATUITE POUR L'AEROPORT LE FAIT DE VENIR ME CHERCHER A L'AGENCE LA PROPRETE ET LA CHALEUR DES HOTES SECHE CHEVEUX DANS LES TOILETTES ET FRIGO DANS LA CHAMBRE|
4.0; Décevant ; La nourriture et le lieu d'emplacement| Nul|
3.0;Pas reposant; Nuisances sonores. Franchement invivable|
10; Exceptionnel ;


8.0;Agréable et discret; Le câble ( pas de chaîne pour vraiment se divertir)| La discrétion,|
8.0; Très bien ; L'appartement était superbe, j'encourage le personnel a continué ainsi|
1.0;Je ne recommande pas; Tout!! Les murs sont pleins de traces, l’appartement était infesté de cafards. Le ménage a été fait une fois pour un séjour de 7 jours.  Le matelas de mauvaise qualité. Nous avons reçu une serviette pour deux, qui n’étaient pas de bonne qualité non plus.  Et en plus il y’a une facture d’électricité à payer. | Le personnel disponible |
7.0; Bien  ;

8.0; Très bien ;

2.0;Décevant, je ne conseille pas.; La zone géographie pas très accessible. Le personnel pas du tout acceuillant, la TV uniquement au Salon pas dans la Chambre. Canal sat qui n'est pas payé dc pas de TV. Une seule serviette pour deux, et le personnel maladroit qui désactivé votre carte d'acces alors que vous êtes en train de procéder au paiement par orange money. En plus le chauffe eau n'est pas branche dc pas d'eau chaude pour le bain.| Le prix est abordable pour les équipements à disposition.|
10;vraiment Plus Parfait; Tres bien situé. Un prix deviant toute concurrence, vraiement tres bien. je reviendrai lors de mon prochain sejour à Douala, la metropole economique.|
5.4; Passable ;

8.0; Très bien ; Personnel très accueillant, avec beaucoup de sollicitude. Salon et lits très confortables. Je recommande vivement| Le personnel, la propreté, les équipements|
2.0; Médiocre  ; Publicité mensongère.| Le calme et la sécurité  |
2.0; Médiocre  ; Il ya seulement une toilette et non deux comme indiqué. Une seule chambre est climatisé l'autre a seulement un ventilateur. Les portes des chambres ne se ferment pas. Personne à la réception. Pas de petit déjeuner comme indiqué| Rien|
10; Exceptionnel ;

9.0; Fabuleux  ;

10; Exceptionnel ;

8.0; Très bien ; Le comportement de Celui qui nous a accueilli ne pas trop plus . puisque je sortais yavais personne pour me guider par derrière j'ai touché le mûr et le gérant s'est adressé un peu mal à moi que je n'ais pas trop apprécié et aussi sur ma demande j'avais vu que ma facture devais avoir une partie de TVA mais je me suis rendu compte maintenant qu'il t'avait j'ai plutôt une facture globale qu'il ya pas de trace de TVA dont je réclame à l'établissement| L'immeuble|
6.0; Agréable ; L’entretien, la salubrité, le ménage sont à améliorer | La qualité de l’infrastructure , la sécurité |
7.0;Spacieux à visiter; Parking petit| Assez agréable, sécuritaire |
8.8;Je recommande Bastos'appart à mon entourage. Découvert et réserver via booking.com; Déjà réglé avec la direction.| Le sentiment d'être dans un endroit spacieux car l'appart n'est pas trop chargé. Et le calme et la sécurité du site. La sympathie des vigiles et de Mr Alain le concierge. J'ai déjà réserver pour mon prochain séjour|
5.8;Peut mieux faire; la qualité approximative du ménage, l'absence d'un concierge permanent, la saleté du véhicule d'accueil aéroport, les incohérences de prix et conditions entre ce qui est annoncé sur le site et ce qui se passe sur le terrain notamment la navette aéroport annoncée comme gratuite mais qu'on a essayé de me faire payer par deux fois et un taxe pour ménage de 10 000 fcfa sortie du chapeau, la mauvaise finition des placards etc...| l'emplacement,le bon gout des meubles |
7.5;dans l'ensemble c’était super bien!; l'espace douche est un peu restreint| l'hôte était très accueillant, l'appartement est bien situé et parfaitement équipé.|
5.0; Passable ; Personnel non présent sur site Problème de Menage | Pièces spacieuses |
4.5; Décevant ; Le ménage est quelconque et la literie vieille... Sinon l appartement est bien dans son ensemble | La sécurité et l emplacement |
5.0;Bon rapport qualité prix et; Pas de Petit déjeuné, Pas de savon, beaucoup d'humidité, chambres pas de chaîne crypté, pas suffisamment de crédit internet, pas aéré dans les chambres| spacieux,, sobre, eau chaude, et climatisation fonctionnelle|
7.0; Bien  ;

9.0; Fabuleux  ;

5.0; Passable ; La vétusté de la chambre. L'absence de petit déjeuner dans le cout de l'hébergement. | La tranquillité extérieure. |
7.0;Excellent! Je recommande et j'y reviendrai!; Le coin bar est peu emmenage, Des canapes et autres petits salons ajouterait du cachet au hall d'entree| La vue est magnifique! L'hotel a garde tout son charme  La literie est confortable, le personnel tres aimable Petit bemol, l'acces : l'hotel est excentre, et c'est qussi ce qui le rend unique...|
6.0;Agréable; L'hôtel doit être renouvelé|
6.7;Malgré que l'hôtel a pris de l'âge il est bien entretenu, très calme et reposant, il reste une bonne; surtout pour le petit  déjeuné  rien avoir avec la catégorie de l'hôtel.| Le calme la vue et la situation géographique sont irréprochables.|
5.4;dommage; chasse d'eau en panne une seule prise a la sale de bain impossible de regler l'air conditionne...mort de froid Excentre du centre ville...1h30 de voiture depuis  l'aeroport …..|
6.3; Agréable ; la qualité de la litterie| la vue|
7.5;Séjour agréable, conforme à mes attentes sauf pour la restauration qui peut etre améliorée; Manque un coffre-fort. Le petit-déjeuner peut être amélioré. Croissants, pain chocolats et pains raisins doivent etre plus fins et au beurre et plus petits. Les jus de fruits doivent etre naturels. Dans la salle de bains, le porte savon de la douche à changer.| La vue sur la ville est magnifique. La chambre propre, confortable et conforme à mes attentes pour cet établissement.|
3.0;Moyen; La propreté et les savons et tapis de bain| La propreté  est à parfaire.  Les repas pas terrible pour un hôtel de cette Classe|
9.6;toujours un vrai plaisir d'y retourner; j'aime la localisation|
9.2;Excellent; Je ne sais pas vraiment| Très chaud|
6.0; Agréable ; Plomberie à revoir| Le calme et la sécurité|
6.3;Confortable mais un peu triste; Les locaux de l'hôtel comme les chambres sont un peu tristes et datés.| Le lit, très correct|
7.0; Bien  ;

6.3; Agréable ;

5.0; Passable ;

7.1; Bien  ;

5.8; Passable ;

5.4; Passable ;

7.5; Bien  ;

7.9; Bien  ;

3.3; Assez médiocre  ;

6.7; Agréable ;

7.5;Pas pour homme d'affaires pressé ,mais idéal pour amoureux de la nature et authenticité .; Assez loin du centre (moto +taxi nécessaires) Equipement encore en  travaux , d'où problèmes d'eau...ca ira mieux la prochaine fois !| Accueil de l'hote et repas préparés par Pierrette. Silence la nuit ,éloignement de la route principale. Surface de l'appartement et propreté Equipement moderne ,quand il marchera (solaire ,reservoir d'eau) Environnement "village", possibilité faire grande promenades dans les collines proches ,ou on se sent très loin de la pollution moderne.|
8.8;Execelente; Distance| Tout|
6.3; Agréable ; Manque de groupe électrogène, pauvre offre de chaînes de télévision | Tout en dehors de ceux cités plus haut |
7.1; Bien  ;

7.1; Bien  ;

5.0; Passable ;

7.9;Agréable dans l'ensemble; J'ai pas eu accès aux chaînes Canal sport qui étaient indisponibles durant mon séjour dans tout l'hôtel.| L'accueil et la disponibilité du  personnel. Le calme dans l'hôtel et l'état de propreté général.|
5.8; Passable ; Le manque d’ascenseur | La propreté |
6.3; Agréable ; Le personnel est inexpérimenté. | Le lit|
6.7;Hotel moyen en équipement mais avec très bonne litterie; Refaire les travaux au niveau des douches| la literie est très bien soignée|
7.1; Bien  ; Le personnel d'accueil n'était pas du tout convivial.  À la limite, il était désagréable. Mais au départ celui en place a rectifié le tir. Mais tout se joue à l'arrivée.|
7.1;Pas mal peut mieux faire; Y'a pas de produits de toilette dans la salle de bains. Quand on est de passage express pour une nuit on a pas forcément avec soi brosse à dent,dentifrice et savon. En trouver dans les salles de bains d'hôtel est devenu courant. Chez vous y'en a pas et quand on demande le personnel répond qu'il y'a que le gel de toilette. Décevant| La chambre est spacieuse et propre|
2.5;NE CORRESPOND PAS A LA DESCRIPTION FAITE; L'ETABLISSEMENT EST VIEUX ET LE MATÉRIEL VÉTUSTE EGALEMENT . J'AU DU PARTIR DES  LA PREMIÈRE NUIT|
4.2; Décevant ; La salle de bain non fonctionnelle, la coupure d'eau. Certaines demandes non satisfaites| La situation de l'hôtel et le calme|
6.3;Mon appréciation ; Le menage  est fait de manière superficiel. Il y'a les crasses dans la douche. Le mobilier n est pas nettoyé,  l'assenceur  en panne. Plus graves les receptionistes ont voulu ignorer ma réservation sur booking. Com et m'ont  demandé  de payer plus cher malgré  les preuves de réservation. Mais après mon insistance les choses sont rentrées dans L ordre. | La sécurité, le calme, la climatisation|
6.3;assez bien; Personnel peu aimable (pas tous bien sûr)| Bonne literie|
6.3;Pour une ou deux nuits maxi.; Le petit déjeuner qui coûte 10$ est une vraie blague. Mieux vaut s'en passer si possible. Le prix annoncé sur Booking.com était différent au moment de payer l’établissement.|
6.0; Agréable ;

8.0; Très bien ;

7.1; Bien  ;

6.3; Agréable ;

6.3; Agréable ;

4.0; Décevant ;

8.3; Très bien ;

8.3; Très bien ;

8.3; Très bien ;

6.0; Agréable ; Qu'on essaie à chaque fois de me faire payer un prix différent de la réservation | Personnel disponible |
8.0; Très bien ; Les images de la télé et les chaînes associées | Le lit est très bien ainsi que les toilettes avec de l'eau chaude en permanence. |
7.0;C etait cool; Le lit| J ai aimé le standing mais le lit etait un peu petit pour mon invité et moi|
10; Exceptionnel ; Excellent état|
1.0; Médiocre  ; Problème de communication, gestion inexistante, surfacturation, chambres inconfortables, matelas à ressort qui font très mal au dos, wifi ne fonctionne qu'à la réception. Bref hôtel complètement déconseillé sauf si vous aimez les mauvaises expériences|
5.0; Passable ; Faille du wifi Voulait toujours faire payer un prix différent de celui de la réservation. Pas de possibilité de payer par carte bleu.| Personnel à l'écoute |
8.8;Agréable; Nettoyage des terrasse|
5.0; Passable ; trop de moustiques dans la chambre nous n'avons pas vraiment dormi|
7.0; Bien  ;

7.5; Bien  ;

10; Exceptionnel ;

8.0; Très bien ; A côté il y a une église réveillé qui dérange pas mal pendant la nuit ( minuit en avant). | Proximité route avec taxi facile. Bien clôturé. Supermarché "carrefour" en proximité avec taxi.  Calme et confortable.|
8.0;Séjour très agréable; Ras| La propreté|
8.0;Etablissement bien situé. Bon rapport qualité/prix. Avec la clim, ce sera parfait.; Le manque de climatiseur. La gérante affirme que le projet est en cours.| Appartement bien situé, près d'une route principale.  Gérante réactive.|
7.1; Bien  ; La connexion Wi-Fi etait inexistante, 2000fcfa de taxes ont été encaissé alors que le montant a payer indiqué pour la nuitée était donné TTC au moment de la réservation. | La sécurité était de mise.  Appartement tres calme. |
9.2;Agréable; L'accès à la restauration| Le calme,la sécurité du cadre et l'accès facile|
1.0;hôtelier qui essaye de se faire payer des prestations non effectuées !!!; Nous n'avons pas apprécié de nous retrouver  sans solution d’hébergement en arrivant de Nouméa après 35H00 de voyage et surtout que la prestation nous soit quand même facturée !!!! Nous n'avons pas apprécié la mauvaise foi de la gérante alors que nous avions à disposition des photos et un enregistrement vidéo  du gardien qui explique son désarroi de ne pouvoir  accueillir des clients et de ne pas avoir  les clés  pour les recevoir !!!Il a contactée devant nous la gérante plusieurs fois sans résultat elle n'a répondu a aucun de ces appels !!!Si vous avez un souci dans cette hôtel après une certaine heure( arrivée tardive ...)  sachez que personne de responsable ne vous répondra !!! Malgré cela la gérante a demandé a être  réglée pas de geste commercial  malgré notre appel téléphonique le jour suivant  pour essayer de comprendre ce qui c'était passé !!!| Nous déconseillons totalement cette établissement ou la gérante n'attend pas les clients lors d'une arrivée tardive comme cela a été notre cas . Nous nous sommes trouvés face à un gardien très serviable mais qui n'avait pas les clés !!!Nous avons donc du contacter de la famille pour ne pas dormir dehors car sans solution d’hébergement .  La prestation non effectuée nous a été  facturée  au motif que nous aurions du prévenir l’hôtel de notre arrivée !!!Ce qui était difficile car nous n'avions pas de puce du Cameroun en arrivant de Nouméa.....  A fuir absolument !!!!|
10;J'ai adoré; Pour moi tout va| J'ai aimé la proximité de la route le confort la propreté le décor simple et très beau l'accueil et la sécurité tout cela à un très doux prix|
7.0; Bien  ; Les lits c’étaient nase | Bah c’était cool surtout les sofas et Diane qui était super sympathique le cadre était cool |
8.0;Agréable!; J'aurai voulu qu'il y ait un climatiseur.|
7.0; Bien  ;

8.8; Très bien ;

6.3; Agréable ;

10; Exceptionnel ;

4.0;Séjour pas très confortable, trop de bruits la nuit, équipements un peu. vétustes.; Pas de connexion wifi, chambres non insonorisées, trop bruyant toute la nuit à cause de nombreux bars et buvettes aux alentours de l'hôtel.| Le personnel est accueillant est souriant. Le petit déjeuner est assez simple mais ca va pour ce prix.|
3.8;j'ai apprecié l'acueil du personnel mais de grace renouveller vos equipements; les equipements usés, les draps ont viré du blanc au jaune sous l'effet du temps, les equipements de la salle de bain etaient toujours en panne| le personnel est accueillant specialement ceux du restaurant|
5.0; Passable ;

3.0; Assez médiocre  ;

5.0; Passable ;

7.5;Très agréable; La disponibilité du personnel|
9.6;Apparemment idéal pour  un séjour tranquille ; Les photos de famille à l'intérieur de l'appartement. | L accès facile  , sécurité, la proximité avec le centre ville et la calme |
7.1; Bien  ; Localisation très centrale et pres de tout mais du coup un peu bruyante.  Personnel gentil et accueillant. Jardin bien entretenu et agréable.|
10;Parfait.; Mon séjour était selon mes attentes. Le personnel aimable, sympa et à l'écoute. Endroit sécurisé.|
10; Exceptionnel ; L emplacement l   Accueil.  Le confort  etc| En faite moi j ai trouvé tous super pour cela rien à dire|
3.3;Mon sejours n a pas ete comme je le voulais a cause de la maison; Rien du tout, trop sale, personnel impolie, la maison etait vieille, des mille pattes partout et des cafards. La cuisine qui coule, impossible de faire la vaisselle.|

8.0;Agréable et reposant; Absence de groupe électrogène pour faire face au coupure de courant en cas d'orage| Commentaire au nom de ma cousine qui a utilisé le logement: Propre, grand appartement et très bien équipé. Bien placé et au calme.|
8.0;Idéal pour retour se ressourcer après une mission de terrain.; Endroit très calme et parfait pour travailler au retour d'une mission de terrain, disposant de tout l'équipement nécessaire.|
9.0; Fabuleux  ; RAS.| Leux propre et convivial. Avec tout ce qu'il faut pour un court séjour seul ou en famille.|
7.0; Bien  ; a part l'emplacement tout était parfait| L' appartement était grande bien meuble, luxurieux tous les Equipements figurants dans l 'annonce y figuraient et l' accueil était de bonne qualité. L’emplacement seul  ne nous convenait pas. Mais pour un séjour en amoureux c'est l" appartement idéal.|
9.6;Belle résidence à Yaoundé ; La résidence ne dispose pas d'enseigne ou écriteau pour indiquer sa position.| Cet établissement, bien que un peu éloigné du centre ville, est comfortable luxueux et bien entretenu. Le proprio Adolphe est d'une amabilité et serviabilité exemplaire. Les conciérges Emmanuel et René sont toujours à l'écoute et au service des clients. Bravo.|
9.2;Séjour très agréable ; Très  bon séjour à  yaounde chez Mr Antoine Immeuble récent, très propre.  Personnel disponible et toujours de bonne humeur  Quartier sécurisé et proche du centre ville Navette aéroport  et location voiture  sur conseil du propriétaire.  Bon séjour  avec notre chauffeur souleymane. |
8.3;excellent; lieu calme et sécurisé|
9.6;Les plus des lilas; La dispostion du parking| La propreté....l'État des meubles ...les toilettes ...surtout la tranquillité|
7.1; Bien  ; Manque de restaurant| L'accueil|
8.3;Merci beaucoup de votre accueil; La prise en charge dès l'aéroport, la gentillesse du chauffeur, la disponibilité du propriétaire Mr Adolphe et Emmanuel le gardien qui était à l'écoute toujours près à rendre service et toujours avec le sourire.|
8.3;Agréable; La qualité des images| La cuisine|
8.3;Nous y reviendrons; Tout était bien.  Juste des oreillers  durs. On ne s'en pas servi.|
9.2; Fabuleux  ; Environnement très calme. Appartement propre et confortable. |
9.2; Fabuleux  ; J'ai oublié un câble de mon téléphone malheureusement aucun appel pour me dire que j'ai oublié quelque chose.| Confort-propreté-le calme du site vraiment excellent |
10;Magnifique Sejour avec le confort; J'ai tout apprécié| Tout etait vraiment cool. Le personnel très accueillant... Et aussi à la cuisine je ne m'attendais pas à tout ce confort. Donc j'ai été vraiment satisfaite !!|
10; Exceptionnel ; Emplacement et accueil impeccables.  Appartement spacieux propre et confortable.  Bien équipé  Les gardiens sont aussi dévoués que gentils |
10; Exceptionnel ; Monsieur très gentil  Et honnête  Super appartement |
10;Le rapport qualité prix était excellent.; Le fait qu'il y ait un ballon d'eau permettant d'avoir autant de l'eau froide que de l'eau chaude|
10; Exceptionnel ; La tranquillité. L’accueil. L’attention du propriétaire. |
5.4;Passable; La connection internet est nulle| Frigo non fonctionnel Un peu de moustique|
10; Exceptionnel ; Problème de réseau téléphonique dans la zone. Mais l'établissement n'y est pour rien | Propreté impeccable |
6.7;Bon établissement et accueil mais dans un quartier à risques.; Le ménage| les appareils de télévision|
10;Lilas the best; Honnêtement j'ai été entièrement satisfaite. Une suggestion c'est peut être de penser à mettre un slipt au salon en cas de forte chaleur mais toutes les chambres ont le slipt.très franchement c'est un lieu propre, reposant, accueillant et avenant. Je le conseille à tout le monde .c'est vraiment la bonne adresse| La propreté, le rapport qualité prix, le calme, c'est très spacieux, eau chaude et eau froide et le sens du détail|
10;Super bien; Rien. Tout était parfaitement nickel. | Le confort., la propreté,les prix. |

8.0;Un séjour très agréable; Le stationnement un peu compliqué à cause des travaux| Une belle vue qui donne sur le golf du mont febe un acceuil chaleureux  appartement confortable juste la piscine qui nous a manqué surtout en temps de fortes chaleurs|
10;Mon séjour de rêve; Pas d'accessibilité au wifi c'était gênant| Le personnel professionnel|
9.2; Fabuleux  ; L’enregistrement|
7.5;Résidence de luxe rapport qualité prix parfaite!!; les voisins peuvent être bruyants il faut donc demander au concierge d'arranger les choses.| L'hôte nous a très bien reçu. Il est très disponible nous avons bien apprécié. Le lieu est très vert, très joli jardin. La résidence est à seulement à 10 min du centre ville en voiture dans un cartier sécurisé et calme, juste à côté du Golf et de l'hôtel Mont Fébé. C'est une résidence de luxe une très belle maison très éclairée.|
7.5;Le cadre,  la forêt ,la vue et la tranquillité 👌🏾La réactivité du personnel très efficace; Le cadre,  la forêt ,la vue et la tranquillité 👌🏾La réactivité du personnel très efficace|
8.0; Très bien ;

10;Très agréable;

6.0; Agréable ;

8.0; Très bien ; Il y a du bruit tard le soir et très tôt le matin | Le personnel est très bien |
